id,mpg,acceleration,cylinders,displacement,horsepower,model year,origin,weight,acceleration cylinders,acceleration displacement,acceleration horsepower,acceleration model year,acceleration origin,acceleration weight,cylinders displacement,cylinders horsepower,cylinders model year,cylinders origin,cylinders weight,displacement horsepower,displacement model year,displacement origin,displacement weight,horsepower model year,horsepower origin,horsepower weight,model year origin,model year weight,origin weight
0,29.0,16.0,4.0,135.0,84.0,82.0,1.0,2525.0,64.0,2160.0,1344.0,1312.0,16.0,40400.0,540.0,336.0,328.0,4.0,10100.0,11340.0,11070.0,135.0,340875.0,6888.0,84.0,212100.0,82.0,207050.0,2525.0
3,31.9,14.0,4.0,89.0,71.0,79.0,2.0,1925.0,56.0,1246.0,994.0,1106.0,28.0,26950.0,356.0,284.0,316.0,8.0,7700.0,6319.0,7031.0,178.0,171325.0,5609.0,142.0,136675.0,158.0,152075.0,3850.0
9,19.0,15.5,6.0,156.0,108.0,76.0,3.0,2930.0,93.0,2418.0,1674.0,1178.0,46.5,45415.0,936.0,648.0,456.0,18.0,17580.0,16848.0,11856.0,468.0,457080.0,8208.0,324.0,316440.0,228.0,222680.0,8790.0
11,28.0,14.5,4.0,90.0,75.0,74.0,1.0,2125.0,58.0,1305.0,1087.5,1073.0,14.5,30812.5,360.0,300.0,296.0,4.0,8500.0,6750.0,6660.0,90.0,191250.0,5550.0,75.0,159375.0,74.0,157250.0,2125.0
13,37.7,17.3,4.0,89.0,62.0,81.0,3.0,2050.0,69.2,1539.7,1072.6000000000001,1401.3,51.900000000000006,35465.0,356.0,248.0,324.0,12.0,8200.0,5518.0,7209.0,267.0,182450.0,5022.0,186.0,127100.0,243.0,166050.0,6150.0
16,27.0,18.0,4.0,151.0,90.0,82.0,1.0,2735.0,72.0,2718.0,1620.0,1476.0,18.0,49230.0,604.0,360.0,328.0,4.0,10940.0,13590.0,12382.0,151.0,412985.0,7380.0,90.0,246150.0,82.0,224270.0,2735.0
18,16.0,18.5,6.0,250.0,105.0,75.0,1.0,3897.0,111.0,4625.0,1942.5,1387.5,18.5,72094.5,1500.0,630.0,450.0,6.0,23382.0,26250.0,18750.0,250.0,974250.0,7875.0,105.0,409185.0,75.0,292275.0,3897.0
19,11.0,11.0,8.0,350.0,180.0,73.0,1.0,3664.0,88.0,3850.0,1980.0,803.0,11.0,40304.0,2800.0,1440.0,584.0,8.0,29312.0,63000.0,25550.0,350.0,1282400.0,13140.0,180.0,659520.0,73.0,267472.0,3664.0
23,26.0,12.5,4.0,121.0,113.0,70.0,2.0,2234.0,50.0,1512.5,1412.5,875.0,25.0,27925.0,484.0,452.0,280.0,8.0,8936.0,13673.0,8470.0,242.0,270314.0,7910.0,226.0,252442.0,140.0,156380.0,4468.0
24,18.2,15.2,8.0,318.0,135.0,79.0,1.0,3830.0,121.6,4833.599999999999,2052.0,1200.8,15.2,58216.0,2544.0,1080.0,632.0,8.0,30640.0,42930.0,25122.0,318.0,1217940.0,10665.0,135.0,517050.0,79.0,302570.0,3830.0
25,16.5,16.7,6.0,168.0,120.0,76.0,2.0,3820.0,100.19999999999999,2805.6,2004.0,1269.2,33.4,63794.0,1008.0,720.0,456.0,12.0,22920.0,20160.0,12768.0,336.0,641760.0,9120.0,240.0,458400.0,152.0,290320.0,7640.0
28,30.9,14.5,4.0,105.0,75.0,78.0,1.0,2230.0,58.0,1522.5,1087.5,1131.0,14.5,32335.0,420.0,300.0,312.0,4.0,8920.0,7875.0,8190.0,105.0,234150.0,5850.0,75.0,167250.0,78.0,173940.0,2230.0
31,27.0,14.5,4.0,97.0,88.0,70.0,3.0,2130.0,58.0,1406.5,1276.0,1015.0,43.5,30885.0,388.0,352.0,280.0,12.0,8520.0,8536.0,6790.0,291.0,206610.0,6160.0,264.0,187440.0,210.0,149100.0,6390.0
32,14.0,12.0,8.0,350.0,165.0,71.0,1.0,4209.0,96.0,4200.0,1980.0,852.0,12.0,50508.0,2800.0,1320.0,568.0,8.0,33672.0,57750.0,24850.0,350.0,1473150.0,11715.0,165.0,694485.0,71.0,298839.0,4209.0
35,18.0,16.0,6.0,232.0,100.0,73.0,1.0,2945.0,96.0,3712.0,1600.0,1168.0,16.0,47120.0,1392.0,600.0,438.0,6.0,17670.0,23200.0,16936.0,232.0,683240.0,7300.0,100.0,294500.0,73.0,214985.0,2945.0
36,26.0,18.0,4.0,96.0,69.0,72.0,2.0,2189.0,72.0,1728.0,1242.0,1296.0,36.0,39402.0,384.0,276.0,288.0,8.0,8756.0,6624.0,6912.0,192.0,210144.0,4968.0,138.0,151041.0,144.0,157608.0,4378.0
38,32.1,15.5,4.0,98.0,70.0,80.0,1.0,2120.0,62.0,1519.0,1085.0,1240.0,15.5,32860.0,392.0,280.0,320.0,4.0,8480.0,6860.0,7840.0,98.0,207760.0,5600.0,70.0,148400.0,80.0,169600.0,2120.0
39,24.5,22.1,4.0,98.0,60.0,76.0,1.0,2164.0,88.4,2165.8,1326.0,1679.6000000000001,22.1,47824.4,392.0,240.0,304.0,4.0,8656.0,5880.0,7448.0,98.0,212072.0,4560.0,60.0,129840.0,76.0,164464.0,2164.0
40,28.1,20.4,4.0,141.0,80.0,81.0,2.0,3230.0,81.6,2876.3999999999996,1632.0,1652.3999999999999,40.8,65892.0,564.0,320.0,324.0,8.0,12920.0,11280.0,11421.0,282.0,455430.0,6480.0,160.0,258400.0,162.0,261630.0,6460.0
41,32.7,11.4,6.0,168.0,132.0,80.0,3.0,2910.0,68.4,1915.2,1504.8,912.0,34.2,33174.0,1008.0,792.0,480.0,18.0,17460.0,22176.0,13440.0,504.0,488880.0,10560.0,396.0,384120.0,240.0,232800.0,8730.0
42,19.0,18.5,4.0,122.0,85.0,73.0,1.0,2310.0,74.0,2257.0,1572.5,1350.5,18.5,42735.0,488.0,340.0,292.0,4.0,9240.0,10370.0,8906.0,122.0,281820.0,6205.0,85.0,196350.0,73.0,168630.0,2310.0
43,15.0,14.9,8.0,302.0,130.0,77.0,1.0,4295.0,119.2,4499.8,1937.0,1147.3,14.9,63995.5,2416.0,1040.0,616.0,8.0,34360.0,39260.0,23254.0,302.0,1297090.0,10010.0,130.0,558350.0,77.0,330715.0,4295.0
44,26.0,15.5,4.0,108.0,93.0,74.0,3.0,2391.0,62.0,1674.0,1441.5,1147.0,46.5,37060.5,432.0,372.0,296.0,12.0,9564.0,10044.0,7992.0,324.0,258228.0,6882.0,279.0,222363.0,222.0,176934.0,7173.0
47,17.0,15.4,8.0,305.0,130.0,79.0,1.0,3840.0,123.2,4697.0,2002.0,1216.6000000000001,15.4,59136.0,2440.0,1040.0,632.0,8.0,30720.0,39650.0,24095.0,305.0,1171200.0,10270.0,130.0,499200.0,79.0,303360.0,3840.0
48,23.0,20.5,4.0,151.0,93.5,82.0,1.0,3035.0,82.0,3095.5,1916.75,1681.0,20.5,62217.5,604.0,374.0,328.0,4.0,12140.0,14118.5,12382.0,151.0,458285.0,7667.0,93.5,283772.5,82.0,248870.0,3035.0
50,19.8,18.2,6.0,200.0,85.0,79.0,1.0,2990.0,109.19999999999999,3640.0,1547.0,1437.8,18.2,54418.0,1200.0,510.0,474.0,6.0,17940.0,17000.0,15800.0,200.0,598000.0,6715.0,85.0,254150.0,79.0,236210.0,2990.0
53,13.0,12.0,8.0,400.0,175.0,71.0,1.0,5140.0,96.0,4800.0,2100.0,852.0,12.0,61680.0,3200.0,1400.0,568.0,8.0,41120.0,70000.0,28400.0,400.0,2056000.0,12425.0,175.0,899500.0,71.0,364940.0,5140.0
57,36.0,13.0,4.0,135.0,84.0,82.0,1.0,2370.0,52.0,1755.0,1092.0,1066.0,13.0,30810.0,540.0,336.0,328.0,4.0,9480.0,11340.0,11070.0,135.0,319950.0,6888.0,84.0,199080.0,82.0,194340.0,2370.0
58,17.0,15.5,6.0,250.0,100.0,71.0,1.0,3329.0,93.0,3875.0,1550.0,1100.5,15.5,51599.5,1500.0,600.0,426.0,6.0,19974.0,25000.0,17750.0,250.0,832250.0,7100.0,100.0,332900.0,71.0,236359.0,3329.0
62,38.0,17.0,6.0,262.0,85.0,82.0,1.0,3015.0,102.0,4454.0,1445.0,1394.0,17.0,51255.0,1572.0,510.0,492.0,6.0,18090.0,22270.0,21484.0,262.0,789930.0,6970.0,85.0,256275.0,82.0,247230.0,3015.0
67,31.5,18.5,4.0,98.0,68.0,77.0,3.0,2045.0,74.0,1813.0,1258.0,1424.5,55.5,37832.5,392.0,272.0,308.0,12.0,8180.0,6664.0,7546.0,294.0,200410.0,5236.0,204.0,139060.0,231.0,157465.0,6135.0
69,16.0,17.0,6.0,250.0,100.0,74.0,1.0,3781.0,102.0,4250.0,1700.0,1258.0,17.0,64277.0,1500.0,600.0,444.0,6.0,22686.0,25000.0,18500.0,250.0,945250.0,7400.0,100.0,378100.0,74.0,279794.0,3781.0
70,31.5,14.9,4.0,89.0,71.0,78.0,2.0,1990.0,59.6,1326.1000000000001,1057.9,1162.2,29.8,29651.0,356.0,284.0,312.0,8.0,7960.0,6319.0,6942.0,178.0,177110.0,5538.0,142.0,141290.0,156.0,155220.0,3980.0
71,39.1,16.9,4.0,79.0,58.0,81.0,3.0,1755.0,67.6,1335.1,980.1999999999999,1368.8999999999999,50.699999999999996,29659.499999999996,316.0,232.0,324.0,12.0,7020.0,4582.0,6399.0,237.0,138645.0,4698.0,174.0,101790.0,243.0,142155.0,5265.0
72,24.0,14.0,4.0,121.0,110.0,73.0,2.0,2660.0,56.0,1694.0,1540.0,1022.0,28.0,37240.0,484.0,440.0,292.0,8.0,10640.0,13310.0,8833.0,242.0,321860.0,8030.0,220.0,292600.0,146.0,194180.0,5320.0
75,32.0,21.0,4.0,71.0,65.0,74.0,3.0,1836.0,84.0,1491.0,1365.0,1554.0,63.0,38556.0,284.0,260.0,296.0,12.0,7344.0,4615.0,5254.0,213.0,130356.0,4810.0,195.0,119340.0,222.0,135864.0,5508.0
77,15.0,19.0,6.0,258.0,110.0,75.0,1.0,3730.0,114.0,4902.0,2090.0,1425.0,19.0,70870.0,1548.0,660.0,450.0,6.0,22380.0,28380.0,19350.0,258.0,962340.0,8250.0,110.0,410300.0,75.0,279750.0,3730.0
79,33.8,18.0,4.0,97.0,67.0,80.0,3.0,2145.0,72.0,1746.0,1206.0,1440.0,54.0,38610.0,388.0,268.0,320.0,12.0,8580.0,6499.0,7760.0,291.0,208065.0,5360.0,201.0,143715.0,240.0,171600.0,6435.0
80,31.3,17.5,4.0,120.0,75.0,80.0,3.0,2542.0,70.0,2100.0,1312.5,1400.0,52.5,44485.0,480.0,300.0,320.0,12.0,10168.0,9000.0,9600.0,360.0,305040.0,6000.0,225.0,190650.0,240.0,203360.0,7626.0
82,23.0,18.5,4.0,140.0,78.0,75.0,1.0,2592.0,74.0,2590.0,1443.0,1387.5,18.5,47952.0,560.0,312.0,300.0,4.0,10368.0,10920.0,10500.0,140.0,362880.0,5850.0,78.0,202176.0,75.0,194400.0,2592.0
83,43.1,21.5,4.0,90.0,48.0,78.0,2.0,1985.0,86.0,1935.0,1032.0,1677.0,43.0,42677.5,360.0,192.0,312.0,8.0,7940.0,4320.0,7020.0,180.0,178650.0,3744.0,96.0,95280.0,156.0,154830.0,3970.0
84,27.2,15.7,4.0,135.0,84.0,81.0,1.0,2490.0,62.8,2119.5,1318.8,1271.7,15.7,39093.0,540.0,336.0,324.0,4.0,9960.0,11340.0,10935.0,135.0,336150.0,6804.0,84.0,209160.0,81.0,201690.0,2490.0
86,22.0,14.7,6.0,232.0,112.0,82.0,1.0,2835.0,88.19999999999999,3410.3999999999996,1646.3999999999999,1205.3999999999999,14.7,41674.5,1392.0,672.0,492.0,6.0,17010.0,25984.0,19024.0,232.0,657720.0,9184.0,112.0,317520.0,82.0,232470.0,2835.0
87,19.0,16.0,6.0,232.0,100.0,74.0,1.0,2901.0,96.0,3712.0,1600.0,1184.0,16.0,46416.0,1392.0,600.0,444.0,6.0,17406.0,23200.0,17168.0,232.0,673032.0,7400.0,100.0,290100.0,74.0,214674.0,2901.0
88,22.0,16.0,4.0,122.0,86.0,72.0,1.0,2395.0,64.0,1952.0,1376.0,1152.0,16.0,38320.0,488.0,344.0,288.0,4.0,9580.0,10492.0,8784.0,122.0,292190.0,6192.0,86.0,205970.0,72.0,172440.0,2395.0
91,23.0,17.0,4.0,140.0,83.0,75.0,1.0,2639.0,68.0,2380.0,1411.0,1275.0,17.0,44863.0,560.0,332.0,300.0,4.0,10556.0,11620.0,10500.0,140.0,369460.0,6225.0,83.0,219037.0,75.0,197925.0,2639.0
93,13.0,12.0,8.0,350.0,165.0,72.0,1.0,4274.0,96.0,4200.0,1980.0,864.0,12.0,51288.0,2800.0,1320.0,576.0,8.0,34192.0,57750.0,25200.0,350.0,1495900.0,11880.0,165.0,705210.0,72.0,307728.0,4274.0
94,20.6,16.6,6.0,225.0,110.0,79.0,1.0,3360.0,99.60000000000001,3735.0000000000005,1826.0000000000002,1311.4,16.6,55776.00000000001,1350.0,660.0,474.0,6.0,20160.0,24750.0,17775.0,225.0,756000.0,8690.0,110.0,369600.0,79.0,265440.0,3360.0
95,35.1,16.1,4.0,81.0,60.0,81.0,3.0,1760.0,64.4,1304.1000000000001,966.0000000000001,1304.1000000000001,48.300000000000004,28336.000000000004,324.0,240.0,324.0,12.0,7040.0,4860.0,6561.0,243.0,142560.0,4860.0,180.0,105600.0,243.0,142560.0,5280.0
98,44.6,13.8,4.0,91.0,67.0,80.0,3.0,1850.0,55.2,1255.8,924.6,1104.0,41.400000000000006,25530.0,364.0,268.0,320.0,12.0,7400.0,6097.0,7280.0,273.0,168350.0,5360.0,201.0,123950.0,240.0,148000.0,5550.0
99,25.0,16.9,4.0,116.0,81.0,76.0,2.0,2220.0,67.6,1960.3999999999999,1368.8999999999999,1284.3999999999999,33.8,37518.0,464.0,324.0,304.0,8.0,8880.0,9396.0,8816.0,232.0,257520.0,6156.0,162.0,179820.0,152.0,168720.0,4440.0
104,16.0,18.0,6.0,250.0,100.0,73.0,1.0,3278.0,108.0,4500.0,1800.0,1314.0,18.0,59004.0,1500.0,600.0,438.0,6.0,19668.0,25000.0,18250.0,250.0,819500.0,7300.0,100.0,327800.0,73.0,239294.0,3278.0
105,31.0,19.4,4.0,119.0,82.0,82.0,1.0,2720.0,77.6,2308.6,1590.8,1590.8,19.4,52767.99999999999,476.0,328.0,328.0,4.0,10880.0,9758.0,9758.0,119.0,323680.0,6724.0,82.0,223040.0,82.0,223040.0,2720.0
109,31.0,16.2,4.0,112.0,85.0,82.0,1.0,2575.0,64.8,1814.3999999999999,1377.0,1328.3999999999999,16.2,41715.0,448.0,340.0,328.0,4.0,10300.0,9520.0,9184.0,112.0,288400.0,6970.0,85.0,218875.0,82.0,211150.0,2575.0
110,25.0,14.9,4.0,140.0,92.0,76.0,1.0,2572.0,59.6,2086.0,1370.8,1132.4,14.9,38322.8,560.0,368.0,304.0,4.0,10288.0,12880.0,10640.0,140.0,360080.0,6992.0,92.0,236624.0,76.0,195472.0,2572.0
111,27.2,14.7,4.0,119.0,97.0,78.0,3.0,2300.0,58.8,1749.3,1425.8999999999999,1146.6,44.099999999999994,33810.0,476.0,388.0,312.0,12.0,9200.0,11543.0,9282.0,357.0,273700.0,7566.0,291.0,223100.0,234.0,179400.0,6900.0
115,13.0,11.0,8.0,360.0,175.0,73.0,1.0,3821.0,88.0,3960.0,1925.0,803.0,11.0,42031.0,2880.0,1400.0,584.0,8.0,30568.0,63000.0,26280.0,360.0,1375560.0,12775.0,175.0,668675.0,73.0,278933.0,3821.0
117,30.0,14.5,4.0,88.0,76.0,71.0,2.0,2065.0,58.0,1276.0,1102.0,1029.5,29.0,29942.5,352.0,304.0,284.0,8.0,8260.0,6688.0,6248.0,176.0,181720.0,5396.0,152.0,156940.0,142.0,146615.0,4130.0
118,9.0,18.5,8.0,304.0,193.0,70.0,1.0,4732.0,148.0,5624.0,3570.5,1295.0,18.5,87542.0,2432.0,1544.0,560.0,8.0,37856.0,58672.0,21280.0,304.0,1438528.0,13510.0,193.0,913276.0,70.0,331240.0,4732.0
119,34.0,16.9,4.0,108.0,70.0,82.0,3.0,2245.0,67.6,1825.1999999999998,1183.0,1385.8,50.699999999999996,37940.5,432.0,280.0,328.0,12.0,8980.0,7560.0,8856.0,324.0,242460.0,5740.0,210.0,157150.0,246.0,184090.0,6735.0
121,25.0,16.5,4.0,90.0,71.0,75.0,2.0,2223.0,66.0,1485.0,1171.5,1237.5,33.0,36679.5,360.0,284.0,300.0,8.0,8892.0,6390.0,6750.0,180.0,200070.0,5325.0,142.0,157833.0,150.0,166725.0,4446.0
123,21.5,12.8,4.0,121.0,110.0,77.0,2.0,2600.0,51.2,1548.8000000000002,1408.0,985.6,25.6,33280.0,484.0,440.0,308.0,8.0,10400.0,13310.0,9317.0,242.0,314600.0,8470.0,220.0,286000.0,154.0,200200.0,5200.0
125,38.1,18.8,4.0,89.0,60.0,80.0,3.0,1968.0,75.2,1673.2,1128.0,1504.0,56.400000000000006,36998.4,356.0,240.0,320.0,12.0,7872.0,5340.0,7120.0,267.0,175152.0,4800.0,180.0,118080.0,240.0,157440.0,5904.0
127,14.0,13.5,8.0,351.0,148.0,75.0,1.0,4657.0,108.0,4738.5,1998.0,1012.5,13.5,62869.5,2808.0,1184.0,600.0,8.0,37256.0,51948.0,26325.0,351.0,1634607.0,11100.0,148.0,689236.0,75.0,349275.0,4657.0
128,23.0,14.5,4.0,120.0,97.0,72.0,3.0,2506.0,58.0,1740.0,1406.5,1044.0,43.5,36337.0,480.0,388.0,288.0,12.0,10024.0,11640.0,8640.0,360.0,300720.0,6984.0,291.0,243082.0,216.0,180432.0,7518.0
129,34.3,15.8,4.0,97.0,78.0,80.0,2.0,2188.0,63.2,1532.6000000000001,1232.4,1264.0,31.6,34570.4,388.0,312.0,320.0,8.0,8752.0,7566.0,7760.0,194.0,212236.0,6240.0,156.0,170664.0,160.0,175040.0,4376.0
130,22.0,19.0,4.0,140.0,72.0,71.0,1.0,2408.0,76.0,2660.0,1368.0,1349.0,19.0,45752.0,560.0,288.0,284.0,4.0,9632.0,10080.0,9940.0,140.0,337120.0,5112.0,72.0,173376.0,71.0,170968.0,2408.0
131,15.5,11.4,8.0,350.0,170.0,77.0,1.0,4165.0,91.2,3990.0,1938.0,877.8000000000001,11.4,47481.0,2800.0,1360.0,616.0,8.0,33320.0,59500.0,26950.0,350.0,1457750.0,13090.0,170.0,708050.0,77.0,320705.0,4165.0
139,16.0,14.0,8.0,302.0,140.0,74.0,1.0,4141.0,112.0,4228.0,1960.0,1036.0,14.0,57974.0,2416.0,1120.0,592.0,8.0,33128.0,42280.0,22348.0,302.0,1250582.0,10360.0,140.0,579740.0,74.0,306434.0,4141.0
143,14.0,9.0,8.0,454.0,220.0,70.0,1.0,4354.0,72.0,4086.0,1980.0,630.0,9.0,39186.0,3632.0,1760.0,560.0,8.0,34832.0,99880.0,31780.0,454.0,1976716.0,15400.0,220.0,957880.0,70.0,304780.0,4354.0
147,26.0,17.7,4.0,98.0,79.0,76.0,1.0,2255.0,70.8,1734.6,1398.3,1345.2,17.7,39913.5,392.0,316.0,304.0,4.0,9020.0,7742.0,7448.0,98.0,220990.0,6004.0,79.0,178145.0,76.0,171380.0,2255.0
148,28.0,14.0,4.0,116.0,90.0,71.0,2.0,2123.0,56.0,1624.0,1260.0,994.0,28.0,29722.0,464.0,360.0,284.0,8.0,8492.0,10440.0,8236.0,232.0,246268.0,6390.0,180.0,191070.0,142.0,150733.0,4246.0
149,32.9,14.8,4.0,119.0,100.0,81.0,3.0,2615.0,59.2,1761.2,1480.0,1198.8,44.400000000000006,38702.0,476.0,400.0,324.0,12.0,10460.0,11900.0,9639.0,357.0,311185.0,8100.0,300.0,261500.0,243.0,211815.0,7845.0
151,30.0,12.9,4.0,135.0,84.0,81.0,1.0,2385.0,51.6,1741.5,1083.6000000000001,1044.9,12.9,30766.5,540.0,336.0,324.0,4.0,9540.0,11340.0,10935.0,135.0,321975.0,6804.0,84.0,200340.0,81.0,193185.0,2385.0
152,25.0,16.4,6.0,181.0,110.0,82.0,1.0,2945.0,98.39999999999999,2968.3999999999996,1803.9999999999998,1344.8,16.4,48297.99999999999,1086.0,660.0,492.0,6.0,17670.0,19910.0,14842.0,181.0,533045.0,9020.0,110.0,323950.0,82.0,241490.0,2945.0
157,15.0,10.0,8.0,429.0,198.0,70.0,1.0,4341.0,80.0,4290.0,1980.0,700.0,10.0,43410.0,3432.0,1584.0,560.0,8.0,34728.0,84942.0,30030.0,429.0,1862289.0,13860.0,198.0,859518.0,70.0,303870.0,4341.0
160,23.0,17.0,4.0,120.0,88.0,75.0,2.0,2957.0,68.0,2040.0,1496.0,1275.0,34.0,50269.0,480.0,352.0,300.0,8.0,11828.0,10560.0,9000.0,240.0,354840.0,6600.0,176.0,260216.0,150.0,221775.0,5914.0
161,14.0,16.0,8.0,302.0,140.0,74.0,1.0,4638.0,128.0,4832.0,2240.0,1184.0,16.0,74208.0,2416.0,1120.0,592.0,8.0,37104.0,42280.0,22348.0,302.0,1400676.0,10360.0,140.0,649320.0,74.0,343212.0,4638.0
163,24.2,13.8,6.0,146.0,120.0,81.0,3.0,2930.0,82.80000000000001,2014.8000000000002,1656.0,1117.8,41.400000000000006,40434.0,876.0,720.0,486.0,18.0,17580.0,17520.0,11826.0,438.0,427780.0,9720.0,360.0,351600.0,243.0,237330.0,8790.0
165,19.0,17.0,6.0,232.0,90.0,75.0,1.0,3211.0,102.0,3944.0,1530.0,1275.0,17.0,54587.0,1392.0,540.0,450.0,6.0,19266.0,20880.0,17400.0,232.0,744952.0,6750.0,90.0,288990.0,75.0,240825.0,3211.0
166,27.0,19.0,4.0,97.0,60.0,71.0,2.0,1834.0,76.0,1843.0,1140.0,1349.0,38.0,34846.0,388.0,240.0,284.0,8.0,7336.0,5820.0,6887.0,194.0,177898.0,4260.0,120.0,110040.0,142.0,130214.0,3668.0
169,15.0,12.5,8.0,318.0,150.0,73.0,1.0,3777.0,100.0,3975.0,1875.0,912.5,12.5,47212.5,2544.0,1200.0,584.0,8.0,30216.0,47700.0,23214.0,318.0,1201086.0,10950.0,150.0,566550.0,73.0,275721.0,3777.0
172,22.0,14.5,6.0,250.0,105.0,76.0,1.0,3353.0,87.0,3625.0,1522.5,1102.0,14.5,48618.5,1500.0,630.0,456.0,6.0,20118.0,26250.0,19000.0,250.0,838250.0,7980.0,105.0,352065.0,76.0,254828.0,3353.0
174,18.0,12.0,8.0,307.0,130.0,70.0,1.0,3504.0,96.0,3684.0,1560.0,840.0,12.0,42048.0,2456.0,1040.0,560.0,8.0,28032.0,39910.0,21490.0,307.0,1075728.0,9100.0,130.0,455520.0,70.0,245280.0,3504.0
177,15.0,10.0,8.0,383.0,170.0,70.0,1.0,3563.0,80.0,3830.0,1700.0,700.0,10.0,35630.0,3064.0,1360.0,560.0,8.0,28504.0,65110.0,26810.0,383.0,1364629.0,11900.0,170.0,605710.0,70.0,249410.0,3563.0
178,39.0,16.4,4.0,86.0,64.0,81.0,1.0,1875.0,65.6,1410.3999999999999,1049.6,1328.3999999999999,16.4,30749.999999999996,344.0,256.0,324.0,4.0,7500.0,5504.0,6966.0,86.0,161250.0,5184.0,64.0,120000.0,81.0,151875.0,1875.0
180,26.0,15.5,4.0,79.0,67.0,74.0,2.0,1963.0,62.0,1224.5,1038.5,1147.0,31.0,30426.5,316.0,268.0,296.0,8.0,7852.0,5293.0,5846.0,158.0,155077.0,4958.0,134.0,131521.0,148.0,145262.0,3926.0
182,34.0,18.0,4.0,112.0,88.0,82.0,1.0,2395.0,72.0,2016.0,1584.0,1476.0,18.0,43110.0,448.0,352.0,328.0,4.0,9580.0,9856.0,9184.0,112.0,268240.0,7216.0,88.0,210760.0,82.0,196390.0,2395.0
183,23.0,14.0,4.0,122.0,86.0,71.0,1.0,2220.0,56.0,1708.0,1204.0,994.0,14.0,31080.0,488.0,344.0,284.0,4.0,8880.0,10492.0,8662.0,122.0,270840.0,6106.0,86.0,190920.0,71.0,157620.0,2220.0
184,31.8,19.2,4.0,85.0,65.0,79.0,3.0,2020.0,76.8,1632.0,1248.0,1516.8,57.599999999999994,38784.0,340.0,260.0,316.0,12.0,8080.0,5525.0,6715.0,255.0,171700.0,5135.0,195.0,131300.0,237.0,159580.0,6060.0
185,29.0,14.2,4.0,90.0,70.0,76.0,2.0,1937.0,56.8,1278.0,994.0,1079.2,28.4,27505.399999999998,360.0,280.0,304.0,8.0,7748.0,6300.0,6840.0,180.0,174330.0,5320.0,140.0,135590.0,152.0,147212.0,3874.0
187,26.4,18.1,4.0,140.0,88.0,80.0,1.0,2870.0,72.4,2534.0,1592.8000000000002,1448.0,18.1,51947.00000000001,560.0,352.0,320.0,4.0,11480.0,12320.0,11200.0,140.0,401800.0,7040.0,88.0,252560.0,80.0,229600.0,2870.0
188,25.5,15.5,4.0,122.0,96.0,77.0,1.0,2300.0,62.0,1891.0,1488.0,1193.5,15.5,35650.0,488.0,384.0,308.0,4.0,9200.0,11712.0,9394.0,122.0,280600.0,7392.0,96.0,220800.0,77.0,177100.0,2300.0
189,20.8,16.7,6.0,200.0,85.0,78.0,1.0,3070.0,100.19999999999999,3340.0,1419.5,1302.6,16.7,51269.0,1200.0,510.0,468.0,6.0,18420.0,17000.0,15600.0,200.0,614000.0,6630.0,85.0,260950.0,78.0,239460.0,3070.0
192,34.4,16.2,4.0,98.0,65.0,81.0,1.0,2045.0,64.8,1587.6,1053.0,1312.2,16.2,33129.0,392.0,260.0,324.0,4.0,8180.0,6370.0,7938.0,98.0,200410.0,5265.0,65.0,132925.0,81.0,165645.0,2045.0
193,16.5,13.2,8.0,351.0,138.0,79.0,1.0,3955.0,105.6,4633.2,1821.6,1042.8,13.2,52206.0,2808.0,1104.0,632.0,8.0,31640.0,48438.0,27729.0,351.0,1388205.0,10902.0,138.0,545790.0,79.0,312445.0,3955.0
